Name,Collection,Date,Year,Last Worked On,Description,Time Worked,Tempo,FL Version,Plugins,Plugin Count,Versions,Samples,Size MB
StarGazer,以前的音乐,2021-06-28,2021,2021-07-13,,2h 31m,170.0,20.6.2.1549,"CamelCrusher, Kickstart, KSHMREssentialsKick, LABS (64 Bit), OTT, Serum, TruePianos",7,1,1,1.2
Zephyr,以前的音乐,2021-07-01,2021,2021-07-06,,3h 57m,128.0,20.8.3.2304,"Kickstart, KSHMREssentialsKick, LABS, OTT, Serum, Sylenth1, TAL-Filter-2, TruePianos",8,1,10,11.0
fbo,,2021-10-04,2021,2021-11-12,,1h 30m,128.0,20.8.3.2304,"CamelCrusher, FabFilter Pro-C 2, FabFilter Pro-L 2, FabFilter Pro-Q 3, Kickstart, OTT, Ozone 8, SAUSAGE FATTENER, Serum, Sylenth1, ValhallaRoom",11,1,7,10.2
09262022,,2022-09-26,2022,2023-01-08,,13h 21m,126.0,21.0.0.3329,"FabFilter Pro-C 2, FabFilter Pro-L 2, FabFilter Pro-MB, FabFilter Pro-Q 3, FabFilter Pro-R, FabFilter Saturn, LABS (64 Bit), OTT, Ozone 8, Serum, Sylenth1, TAL-Filter-2, TruePianos",13,1,18,102.4
200,,2022-09-29,2022,2023-03-10,,1h 34m,200.0,21.0.0.3329,"FabFilter Pro-Q 3, LABS (64 Bit), Serum, Sylenth1",4,1,0,0.2
dd 10102022,,2022-10-10,2022,2022-10-10,,0h 55m,128.0,20.9.2.2963,"FabFilter Pro-Q 3, FabFilter Saturn, Ozone 8, Serum, Sylenth1, TAL-Filter-2",6,1,8488,125624.0
dd 10102022_2,,2022-10-10,2022,2024-09-03,,1h 56m,128.0,21.2.3.4004,"FabFilter Pro-Q 3, FabFilter Saturn, Ozone 8, Serum, Sylenth1, TAL-Filter-2",6,2,2,4.2
phonk hardcore,,2022-10-20,2022,2022-10-24,,1h 02m,128.0,20.9.2.2963,"FabFilter Pro-Q 3, OTT, Ozone 8, Serum, TAL-Filter-2",5,1,4,2.8
halloween,,2022-10-27,2022,2023-01-25,,1h 25m,178.0,20.9.2.2963,"FabFilter Pro-Q 3, OTT, Serum",3,1,2294,69434.0
spooky beat,,2022-10-27,2022,2023-01-25,,2h 43m,178.0,21.0.0.3329,"CamelCrusher, FabFilter Pro-L 2, FabFilter Pro-Q 3, Krush, OTT, Ozone 8, SAUSAGE FATTENER, Serum, Youlean Loudness Meter 2",9,1,2294,69434.0
Building Template,,2022-11-01,2022,2023-02-07,,3h 56m,128.0,20.9.2.2963,"FabFilter Pro-C 2, FabFilter Pro-L 2, FabFilter Pro-Q 3, SAUSAGE FATTENER, Serum, TAL-Filter-2, TruePianos",7,1,0,0.2
FIE 1_7,,2022-11-05,2022,2023-08-22,,43h 01m,170.0,21.0.0.3329,"CamelCrusher, Crystallizer, dblue.TapeStop, Decapitator, FabFilter Pro-C 2, FabFilter Pro-L 2, FabFilter Pro-Q 3, FabFilter Saturn, FilterFreak2, kHs Gain, kHs Pitch Shifter, LABS (64 Bit), MAutopan, MBitFun, OTT, Ozone 8 Imager, Ozone Imager 2, Serum, Sylenth1, TAL-Filter-2, The Glue, TruePianos",22,7,125,1236.5
FIE REWORK,,2022-11-05,2022,2024-09-03,,44h 21m,170.0,21.2.3.4004,"CamelCrusher, Crystallizer, dblue.TapeStop, Decapitator, FabFilter Pro-C 2, FabFilter Pro-L 2, FabFilter Pro-Q 3, FilterFreak2, kHs Bitcrush, kHs Gain, kHs Pitch Shifter, LABS (64 Bit), MAutopan, OTT, Ozone 8 Imager, Ozone Imager 2, PanCake2, Serum, Sylenth1, TAL-Filter-2, The Glue, TruePianos",22,1,125,1236.5
reference,,2022-11-05,2022,2022-11-06,,4h 30m,170.0,20.9.2.2963,"FabFilter Pro-C 2, FabFilter Pro-L 2, FabFilter Pro-Q 3, kHs Pitch Shifter, MAutopan, OTT, Serum, TAL-Filter-2, TruePianos",9,1,125,1236.5
NEO SOUL,,2022-11-10,2022,2022-11-11,,0h 51m,108.0,20.9.2.2963,"FabFilter Pro-L 2, FabFilter Pro-Q 3, OTT, Serum, TAL-Filter-2",5,1,2294,69434.0
kawaiimaybe,,2022-11-17,2022,2022-12-16,,3h 39m,170.0,21.0.0.3329,"CamelCrusher, dblue.TapeStop, FabFilter Pro-L 2, FabFilter Pro-Q 3, OTT, Serum, TAL-Filter-2, TruePianos",8,1,217,448.5
Kwaa_3,,2022-11-17,2022,2024-10-03,,28h 14m,170.0,21.0.0.3329,"CamelCrusher, Crystallizer, dblue.TapeStop, Decapitator, EchoBoy, FabFilter Pro-C 2, FabFilter Pro-L 2, FabFilter Pro-Q 3, FabFilter Saturn, FilterFreak2, kHs Gain, OTT, Ozone 8 Imager, Ozone Imager 2, Serum, TAL-Filter-2, The Glue, TruePianos, Vocal Doubler",19,3,217,448.5
thanksgiving sample flip,,2022-11-21,2022,2022-11-21,,0h 13m,200.0,20.9.2.2963,"CamelCrusher, FabFilter Pro-Q 3, Serum, TAL-Filter-2",4,1,2294,69434.0
Alone_3,,2022-11-27,2022,2023-09-24,,11h 42m,194.0,21.0.0.3329,"CamelCrusher, FabFilter Pro-L 2, FabFilter Pro-Q 3, Guitar Rig 6, SAUSAGE FATTENER, Serum, sforzando, TAL-Filter-2, TruePianos",9,3,30,134.5
Progressive e,,2022-12-13,2022,2023-04-01,,3h 16m,124.0,21.0.0.3329,"CamelCrusher, FabFilter Saturn, Guitar Rig 6, LABS (64 Bit), OTT, Serum, sforzando, Sylenth1, TAL-Filter-2",9,1,39,74.4
eiei,Aykm,2022-12-14,2022,2022-12-14,,0h 36m,148.0,21.0.0.3329,"Decapitator, Serum, TAL-Filter-2",3,1,14,4.0
Project_1,Drop Kahoot,2022-12-31,2022,2023-01-02,,1h 14m,175.0,21.0.0.3329,"kHs Gain, Youlean Loudness Meter 2",2,1,24,158.8
col 2_3,,2023-01-12,2023,2023-11-17,,35h 09m,169.0,21.2.1.3859,"CamelCrusher, Crystallizer, dblue.TapeStop, Decapitator, FilterFreak2, kHs Frequency Shifter, kHs Gain, LABS, OTT, SAUSAGE FATTENER, Serum, Sylenth1, TAL-Filter-2, The Glue",14,8,161,554.6
Revive,,2023-01-12,2023,2023-01-14,,6h 37m,169.0,21.0.0.3329,"CamelCrusher, FabFilter Pro-L 2, FabFilter Pro-Q 3, FabFilter Saturn, OTT, Serum, Sylenth1, TAL-Filter-2, The Glue, TruePianos",10,2,161,554.6
weareback1,,2023-01-12,2023,2024-02-19,,24h 02m,169.0,21.2.1.3859,"CamelCrusher, Crystallizer, dblue.TapeStop, Decapitator, Disperser, FilterFreak2, kHs Delay, kHs Distortion, kHs Filter, kHs Frequency Shifter, kHs Gain, kHs Ladder Filter, kHs Limiter, kHs Pitch Shifter, LABS, OTT, Phase Plant, SAUSAGE FATTENER, Serum, Sylenth1, TAL-Filter-2, The Glue",22,1,161,554.6
Animesthing,,2023-01-16,2023,2025-03-18,,2h 35m,126.0,24.2.2.4597,"BBC Symphony Orchestra (64 Bit), DecentSampler, OTT, The Glue",4,1,158,59.7
ayo30 remix,,2023-01-25,2023,2023-01-28,,0h 48m,128.0,21.0.0.3329,"CamelCrusher, FabFilter Pro-Q 3, Serum, Sylenth1, TAL-Filter-2, TruePianos",6,1,2294,69434.0
200Step 1hour sampleflip,,2023-01-26,2023,2023-01-29,,2h 57m,200.0,21.0.0.3329,"CamelCrusher, FabFilter Pro-L 2, FabFilter Pro-Q 3, kHs Formant Filter, kHs Frequency Shifter, Krush, OTT, SAUSAGE FATTENER, Serum, TAL-Filter-2, The Glue",11,1,2294,69434.0
House,,2023-01-28,2023,2023-09-17,,3h 10m,128.0,21.0.0.3329,"CamelCrusher, FabFilter Pro-C 2, FabFilter Pro-L 2, FabFilter Pro-Q 3, kHs Frequency Shifter, OTT, Ozone 8, Ozone 8 Exciter, Ozone 8 Imager, Serum, TAL-Filter-2, TruePianos",12,1,24,54.6
